Name,Phone,Website,Rating,Address,Notes,,,,,,,,,
Sunset Ranch Hollywood Stables,(323) 469-5450,sunsetranchhollywood.com,4.0 star rating,3400 N Beachwood Dr Los Angeles CA 90068, ,,,,,,,,,
Shadow Hills Equestrian Center,(818) 352-2166,shadowhills-equestriancenter.com,4.5 star rating,10263 La Canada Way Los Angeles CA 91040, ,,,,,,,,,
Gable Equestrian,(310) 460-8674,gableequestrian.com,4.5 star rating,3919 Rigali Ave Los Angeles CA 90039, ,,,,,,,,,
Dark Horse Ranch,(310) 927-0207,,5.0 star rating,Sun Valley CA 91352, ,,,,,,,,,
North Star Farms,(818) 749-6131,nstarfarms.com,4.0 star rating,11270 Dominica Ave Los Angeles CA 91342, ,,,,,,,,,
Rocken P Stables,(818) 242-8443,,4.5 star rating,1850 Riverside Dr Glendale CA 91201, ,,,,,,,,,
3D Farms,(818) 468-8382,3d-farm.com,5.0 star rating,1127 Orcas Ave Los Angeles CA 91342,,,,,,,,,,
Circle K Riding Stables,(818) 843-9890,,4.5 star rating,910 S Mariposa St Burbank CA 91506,,,,,,,,,,
Total Equestrian Experience,(818) 723-7919,totalequestrianexperience.com,5.0 star rating,21126 Chatsworth St Los Angeles CA 91311,,,,,,,,,,
Fair Hills Farms,(818) 347-5049,fairhillsfarms.com,4.5 star rating,2735 Santa Maria Rd Topanga CA 90290,,,,,,,,,,
Spanish Ranch,(818) 590-6539,,5.0 star rating,21042 San Jose St Los Angeles CA 91311,,,,,,,,,,
J Bennett Farms Barn,(818) 262-6026,jbennettfarms.com,4.5 star rating,480 W Riverside Dr The Los Angeles Equestrian Ctr Burbank CA 91506,,,,,,,,,,
Silver Spur Stables,(310) 413-1648,,4.0 star rating,1900 Riverside Dr Glendale CA 91201,,,,,,,,,,
Marlowe Show Stables,(661) 600-5734,marloweshowstables.com,4.5 star rating,10263 La Canada Way Los Angeles CA 91040    ,,,,,,,,,,
Los Angeles Equestrian Center,(818) 840-9063,la-equestriancenter.com,4.0 star rating,480 W Riverside Dr Burbank CA 91506    ,,,,,,,,,,
Verdant Equestrian Center,(818) 547-9200,Verdant Equestrian Center,3.0 star rating,4000 Verdant St Los Angeles CA 90039    ,,,,,,,,,,
La Tuna Stables,(818) 324-6568,latunastables.com,4.5 star rating,10149 La Tuna Canyon Rd Sun Valley CA 91352    ,,,,,,,,,,
San Pascual Stables,(310) 883-4581,sanpascualstables.net,3.0 star rating,221 San Pascual Ave South Pasadena CA 91030    ,,,,,,,,,,
Imperial Equestrian Center,(562) 761-2552,imperialequestriancenter.com,5.0 star rating,5543 Leeds St South Gate CA 90280    ,,,,,,,,,,
Eaton Dam Stables,(626) 818-6464,eatondamstables.com,5.0 star rating,2800 New York Dr Pasadena CA 91107    ,,,,,,,,,,
B & B Stables,(562) 865-9012,B & B Stables,4.5 star rating,10730 Artesia Blvd Cerritos CA 90703    ,,,,,,,,,,
Cellar Door Farm,(818) 652-4721,cellardoorequestrian.com,5.0 star rating,29 Baymare Rd Bell Canyon CA 91307    ,,,,,,,,,,
Peter Weber Equestrian Center,(310) 541-9487,pwecent.com,4.0 star rating,26401 Crenshaw Blvd Rolling Hills Estates CA 90274    ,,,,,,,,,,
MT Pockets Ranch,(818) 352-1690,MT Pockets Ranch,,1234 Noyb St Los Angeles CA    ,,,,,,,,,,
Good Pony,(818) 606-7669,goodponyla.com,5.0 star rating,Burbank CA 91506    ,,,,,,,,,,
Mountain Meadows Stables,(818) 371-9812,mountainmeadowsstables.com,5.0 star rating,"12100 Browns Canyon Rd Chatsworth CA 91311
    ",,,,,,,,,,
Gold Spirit Farm,(818) 834-1272,goldspiritfarm.com,5.0 star rating,"12682 Kagel Canyon Rd Sylmar CA 91342
    ",,,,,,,,,,
Mill Creek Equestrian Center,(310) 455-1116,millcreekequestriancenter.com,4.5 star rating,"1881 Old Topanga Cyn Rd Topanga CA 90290
    ",,,,,,,,,,
Acre West,(888) 447-9993,acreswest.com,5.0 star rating,"23200 Mulholland Hwy Calabasas CA 91302
    ",,,,,,,,,,
Courtship Ranch,(818) 899-4059,CourtshipRanch.com,4.0 star rating,"11270 Dominica Ave Sylmar CA 91342
    ",,,,,,,,,,
Monte Verde Trails Ranch,(818) 899-9042,monteranch.com,4.5 star rating,"11035 Osborne St Sylmar CA 91342
    ",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
